Sl.No,State_Name,Institution_Name,Institution_Type
8264,Rajasthan,BIYANI SCHOOL OF NURSING JAIPUR (Id: S-5067),Nursing
8265,Rajasthan,B L M INSTITUTE OF MEDICAL AND PARAMEDICAL SCIENCES JAIPUR (Id: S-5061),Nursing
8266,Rajasthan,BRIGHT CAREER INSTITUTE OF NURSING BIKANER (Id: S-5068),Nursing
8267,Rajasthan,"BRIGHT CAREER POLYTECHNIC COLLEGE NOKHA, BIKANER (Id: S-2554)",Technical/Polytechnic
8268,Rajasthan,"B.R.KABRA MAHILA SHUKSHAN PRASHIKSHAN MAHAVIDYALAY, NAGORE (Id: S-12861)",Teacher Training
8269,Rajasthan,"B.R. POLYTECHNIC COLLEGE, SIKAR (Id: S-2544)",Technical/Polytechnic
8270,Rajasthan,"C.A.M. POLYTECHNIC COLLEGE, NAGAUR (Id: S-2555)",Technical/Polytechnic
8271,Rajasthan,"CARRIOR SHIKSHAK PRASHIKSHAN SCHOOL, JHUNJHUNU (Id: S-12532)",Teacher Training
8272,Rajasthan,CENTURION INSTITUTE OF PROFESSIONAL STUDIES (Id: S-296),PGDM Institutes
8273,Rajasthan,CEREBRAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY (Id: S-297),PGDM Institutes
8274,Rajasthan,CHAMBAL SCHOOL OF NURSING BUNDI (Id: S-5069),Nursing
8275,Rajasthan,CHAND BIHARI SITA DEVI RANA SCHOOL OF NURSING JAIPUR (Id: S-5070),Nursing
8276,Rajasthan,"CHANDGIRAM POLYTECHNIC COLLEGE, CHURU (Id: S-2562)",Technical/Polytechnic
8277,Rajasthan,"CHAUDHARY BSTC SCHOOL RAJGARH, CHURU (Id: S-12522)",Teacher Training
8278,Rajasthan,"CHAUDHARY MRM MEMORIAL INSTITUTE SURATGARH, SRIGANGANAGAR (Id: S-12543)",Teacher Training
8279,Rajasthan,"CHAUDHARY MS MEMORIAL SHIKSHAK PRASHIKSHAN COLLEGE TARANAGAR, CHURU (Id: S-12523)",Teacher Training
8280,Rajasthan,"CHAUDHARY PARMARAM GODARA SHIKSHAK PRASHIKSHAN COLLEGE BHADRA, HANUMANGARH (Id: S-12528)",Teacher Training
8281,Rajasthan,CH. CHARAN SINGH NATIONAL INSTITUTE OF AGRICULTURAL MARKETING (Id: S-298),PGDM Institutes
8282,Rajasthan,"CH. GIRDHARI RAM DHAKA POLYTECHNIC COLLEGE, HANUMANGARH (Id: S-2560)",Technical/Polytechnic
8283,Rajasthan,"CHOUDHARY MALURAM BHAMBU GOVERNMENT POLYTECHNIC COLLEGE, SRIGANGANAGAR (Id: S-2564)",Technical/Polytechnic
8284,Rajasthan,"CHOUDHARY PARAMARAM GODARA POLYTECHNIC COLLEGE NOHAR, HANUMANGARH (Id: S-2565)",Technical/Polytechnic
8285,Rajasthan,"CHOUDHARY PARMARAM GODARA POLYTECHNIC COLLEGE BHADRA, HANUMANGARH (Id: S-2566)",Technical/Polytechnic
8286,Rajasthan,CHOUDHARY SCHOOL OF NURSING CHURU (Id: S-5071),Nursing
8287,Rajasthan,"CHUDHARY MANIRAN SCHOOL OF BSTC,HANUMANGARH (Id: S-12527)",Teacher Training
8288,Rajasthan,DADHIMATHI MAHILA TEACHER'S TRAINING INSTITUTION FOR WOMEN STC (Id: S-7528),Teacher Training
8289,Rajasthan,"DEENDAYAL POLYTECHNIC COLLEGE, SIKAR (Id: S-2568)",Technical/Polytechnic
8290,Rajasthan,DEEP INTERNATIONAL TT SCHOOL ALWAR (Id: S-7529),Teacher Training
8291,Rajasthan,DEEP SCHOOL OF NURSING JAIPUR (Id: S-5072),Nursing
8292,Rajasthan,DHANVANTARI INSTITUTE OF PARAMEDICAL SCIENCE JAIPUR (Id: S-5073),Nursing
8293,Rajasthan,"DHOLAPLASH POLYTECHNIC COLLEGE, ALWAR (Id: S-2569)",Technical/Polytechnic
8294,Rajasthan,"DHOLPUR POLYTECHNIC COLLEGE, DHOLPUR (Id: S-2612)",Technical/Polytechnic
8295,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, AJMER (Id: S-7548)",Teacher Training
8296,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, ALWAR (Id: S-7530)",Teacher Training
8297,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, BAGARI NAGAR, PALI (Id: S-12039)",Teacher Training
8298,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, BARAN (Id: S-7556)",Teacher Training
8299,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, BARMER (Id: S-12320)",Teacher Training
8300,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, BHARATPUR (Id: S-7531)",Teacher Training
8301,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, BHEELWARA (Id: S-7532)",Teacher Training
8302,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, BIKANER (Id: S-7533)",Teacher Training
8303,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, BUNDI (Id: S-7535)",Teacher Training
8304,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, CHITTORGARH (Id: S-7536)",Teacher Training
8305,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING CHUNAWADH, SRIGANGANAGAR (Id: S-7541)",Teacher Training
8306,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, CHURU (Id: S-12316)",Teacher Training
8307,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, DAUSA (Id: S-12319)",Teacher Training
8308,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, DHOLPUR (Id: S-7539)",Teacher Training
8309,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, DUNGARPUR (Id: S-7540)",Teacher Training
8310,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, GARHI (Id: S-7542)",Teacher Training
8311,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, GONER JAIPUR (Id: S-7543)",Teacher Training
8312,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, GOVARDHAN VILASUDAIPUR (Id: S-7544)",Teacher Training
8313,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, HANUMANGARH (Id: S-12318)",Teacher Training
8314,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, JAISALMER (Id: S-7555)",Teacher Training
8315,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, JALORE (Id: S-12321)",Teacher Training
8316,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, JHALAWARAPATAN (Id: S-7545)",Teacher Training
8317,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, JHALLRAPATAN KOTTAYAM (Id: S-7546)",Teacher Training
8318,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, JHUNJHUNU (Id: S-12317)",Teacher Training
8319,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, JODHPUR (Id: S-12089)",Teacher Training
8320,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, KAROLI (Id: S-12129)",Teacher Training
8321,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, KOTA (Id: S-7547)",Teacher Training
8322,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, KUCHAMAN CITY, NAGAUR (Id: S-7557)",Teacher Training
8323,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING MOUNT ABU, SIROHI (Id: S-12085)",Teacher Training
8324,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, NATHDAWARA (Id: S-7550)",Teacher Training
8325,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, SAWAIMADHOPUR (Id: S-12315)",Teacher Training
8326,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, SHAHPURA BHILWARA (Id: S-7552)",Teacher Training
8327,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, SIKAR (Id: S-12079)",Teacher Training
8328,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, TONK (Id: S-7553)",Teacher Training
8329,Rajasthan,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, UDAIPUR (Id: S-7554)",Teacher Training
8330,Rajasthan,"DR. D.N. MUTHA INSTITUTE OF DIPLOMA ENGINEERING BALOTRA, BARMER (Id: S-2571)",Technical/Polytechnic
8331,Rajasthan,DR. RADHA KRISHANAN NURSING INSTITUTE JODHPUR (Id: S-5074),Nursing
8332,Rajasthan,"DR. RADHAKRISHNAN POLYTECHNIC COLLEGE, SEZ JAIPUR (Id: S-2572)",Technical/Polytechnic
8333,Rajasthan,"DR RADHAKRISHNAN POLYTECHNIC INSTITUTE, ALWAR (Id: S-314)",Technical/Polytechnic
8334,Rajasthan,DR RAJENDRA PRASAD NURSERY TEACHERS TRAINING SCHOOL (Id: S-7558),Teacher Training
8335,Rajasthan,"E.C.B POLYTECHNIC COLLEGE, BIKANER (Id: S-2573)",Technical/Polytechnic
8336,Rajasthan,EKALAYAYA SCHOOL OF TEACHER TRAINING (Id: S-7559),Teacher Training
8337,Rajasthan,"EXCELLENCE POLYTECHNIC COLLEGE, SIKAR (Id: S-2576)",Technical/Polytechnic
8338,Rajasthan,"FULERA POLYTECHNIC COLLEGE, JAIPUR (Id: S-2578)",Technical/Polytechnic
8339,Rajasthan,"GANPATI COLLRGR OF SCIENCE TECHONOLOGY and MANAGEMENT, JAIPUR (Id: S-2577)",Technical/Polytechnic
8340,Rajasthan,GAURAV NURSING SCHOOL JAIPUR (Id: S-5075),Nursing
8341,Rajasthan,GAYATRI EDUCATION NURSING INSTITUTE UDAIPUR (Id: S-5076),Nursing
8342,Rajasthan,GEETA BAJAJ POORVA PRATHMIC MAHILA SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-7560),Teacher Training
8343,Rajasthan,GEETA BAJAJ POORVA PRIMARY MAHILA SHIKSHAK PRAKSHIKSHAN MAHAVIDHYALA (Id: S-7561),Teacher Training
8344,Rajasthan,"GEETA CO EDUCATION SANSKRIT SHIKSHAK PRASHIKSHAN COLLEGE, SRIGANGANAGAR (Id: S-12544)",Teacher Training
8345,Rajasthan,"GEETA CO EDUCATION SHIKSHAK PRASHIKSHAN COLLEGE, SRIGANGANAGAR (Id: S-12545)",Teacher Training
8346,Rajasthan,GEETANJALI SCHOOL OF NURSING UDAIPUR (Id: S-5077),Nursing
8347,Rajasthan,GENERAL NURSING TRAINING CENTRE BARMER (Id: S-5078),Nursing
8348,Rajasthan,GENIUS HEALTH and NURSING SHIKSHAN SANSTHAN BHILWARA (Id: S-5079),Nursing
8349,Rajasthan,GLOBAL INSTITUTE OF NURSING JAIPUR (Id: S-5080),Nursing
8350,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, AJMER (Id: S-2579)",Technical/Polytechnic
8351,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, ALWAR (Id: S-2580)",Technical/Polytechnic
8352,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, BANASWADA (Id: S-2581)",Technical/Polytechnic
8353,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, BARAN (Id: S-12097)",Technical/Polytechnic
8354,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, BARMER (Id: S-2582)",Technical/Polytechnic
8355,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, BIKANER (Id: S-2583)",Technical/Polytechnic
8356,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, BUNDI (Id: S-12102)",Technical/Polytechnic
8357,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, CHITTORGARH (Id: S-2584)",Technical/Polytechnic
8358,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, CHURU (Id: S-2585)",Technical/Polytechnic
8359,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, DAUSA (Id: S-12100)",Technical/Polytechnic
8360,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, DHOLPUR (Id: S-12095)",Technical/Polytechnic
8361,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, DUNGARPUR (Id: S-12096)",Technical/Polytechnic
8362,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, JAISALMER (Id: S-12098)",Technical/Polytechnic
8363,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, JALORE (Id: S-12099)",Technical/Polytechnic
8364,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, JHALAWAD (Id: S-2586)",Technical/Polytechnic
8365,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, JODHPUR (Id: S-2587)",Technical/Polytechnic
8366,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, KARAULI (Id: S-12101)",Technical/Polytechnic
8367,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, KOTA (Id: S-2588)",Technical/Polytechnic
8368,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, NIMRANA ALWAR (Id: S-2589)",Technical/Polytechnic
8369,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, PALI (Id: S-2590)",Technical/Polytechnic
8370,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, PRATAPGARH (Id: S-12094)",Technical/Polytechnic
8371,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, RAJASMAND (Id: S-2591)",Technical/Polytechnic
8372,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, SAWAI MADHOPUR (Id: S-2592)",Technical/Polytechnic
8373,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, SIKAR (Id: S-2593)",Technical/Polytechnic
8374,Rajasthan,"GOVERNMENT POLYTECHNIC COLLEGE, TONK (Id: S-12103)",Technical/Polytechnic
8375,Rajasthan,"GOVERNMENT RAMCHANDRA KHAITAN POLYTECHNIC COLLEGE, JAIPUR (Id: S-2594)",Technical/Polytechnic
8376,Rajasthan,"GOVERNMENT RESIDENTIAL WOMAN POLYTECHNIC COLLEGE, JODHPUR (Id: S-2595)",Technical/Polytechnic
8377,Rajasthan,"GOVERNMENT SANSKRIT TT, MAHAPURA (Id: S-7563)",Teacher Training
8378,Rajasthan,"GOVERNMENT WOMAN POLYTECHNIC COLLEGE, AJMER (Id: S-2601)",Technical/Polytechnic
8379,Rajasthan,"GOVERNMENT WOMAN POLYTECHNIC COLLEGE, BHARATPUR (Id: S-300)",Technical/Polytechnic
8380,Rajasthan,"GOVERNMENT WOMAN POLYTECHNIC COLLEGE, BIKANER (Id: S-2596)",Technical/Polytechnic
8381,Rajasthan,"GOVERNMENT WOMAN POLYTECHNIC COLLEGE, JAIPUR (Id: S-2597)",Technical/Polytechnic
8382,Rajasthan,"GOVERNMENT WOMAN POLYTECHNIC COLLEGE, KOTA (Id: S-2598)",Technical/Polytechnic
8383,Rajasthan,"GOVERNMENT WOMAN POLYTECHNIC COLLEGE, SANGANER JAIPUR (Id: S-2599)",Technical/Polytechnic
8384,Rajasthan,"GOVERNMENT WOMAN POLYTECHNIC COLLEGE, UDAIPUR (Id: S-2600)",Technical/Polytechnic
8385,Rajasthan,GOVINDAM GENERAL NURSING SCHOOL KARAULI (Id: S-5081),Nursing
8386,Rajasthan,"GOVINDAM POLYTECHNIC COLLEGE, SIKAR (Id: S-12104)",Technical/Polytechnic
8387,Rajasthan,GOVINDAM TEACHER'S TRAINING SCHOOL (Id: S-7562),Teacher Training
8388,Rajasthan,GOVT. GENERAL HOSPITAL SHRI GANGANAGAR (Id: S-5083),Nursing
8389,Rajasthan,GOVT RAJBHADUR MEMORIAL HOSPITAL BHARATPUR (Id: S-5082),Nursing
8390,Rajasthan,"GRAMOTHAN VIDYAPEETH PG COLLEGE SANGARIA, HANUMANGARH (Id: S-12529)",Teacher Training
8391,Rajasthan,"GURMEET SINGH GHANSHYAM DASS SHIKSHAK PRASHIKSHAN KANYA VIDYALYA, SRIGANGANAGAR (Id: S-12546)",Teacher Training
8392,Rajasthan,"GURUKUL POLYTECHNIC COLLEGE, AMER JAIPUR (Id: S-12105)",Technical/Polytechnic
8393,Rajasthan,"GURUKUL POLYTECHNIC COLLEGE, CHUMU JAIPUR (Id: S-12106)",Technical/Polytechnic
8394,Rajasthan,"GYAN JYOTI POLYTECHNIC COLLEGE, CHURU (Id: S-2602)",Technical/Polytechnic
8395,Rajasthan,HARI SEWA SANSKRIT SHIKSHAK PRASHIKSHAN VIDYALAYA BHILWARA (Id: S-7564),Teacher Training
8396,Rajasthan,HARISHEWA SANSKRIT SHIKSHAK PAREEKSHAN (Id: S-7565),Teacher Training
8397,Rajasthan,HEALTH and HYGIENE NURSING EDUCATION INSTITUTE ALWAR (Id: S-5084),Nursing
8398,Rajasthan,"IASE UNIVERSITY SARDARSAHAR, CHURU (Id: S-12524)",Teacher Training
8399,Rajasthan,IGM BSTC SCHOOL JAIPUR (Id: S-7566),Teacher Training
8400,Rajasthan,"IMPERIAL INSTITUTE OF POLYTECHNIC and TECHNOLOGY, JAIPUR (Id: S-2605)",Technical/Polytechnic
8401,Rajasthan,"IMPERIAL POLYTECHNIC COLLEGE, SHOYCHAND CHURU (Id: S-2606)",Technical/Polytechnic
8402,Rajasthan,"INDIAN INSTITUTE OF MANAGEMENT, UDAIPUR (Id: S-8942)",Institutes under Ministries
8403,Rajasthan,"INDIAN INSTITUTE OF POLYTECHNIC, ASADA BARMER (Id: S-2607)",Technical/Polytechnic
8404,Rajasthan,"INDIAN PUBLIC PRIMARY TT COLLEGE, JHUNJHUNU (Id: S-12533)",Teacher Training
8405,Rajasthan,INDIAN SHIKSHAK PRASHIKSHAN COLLEGE CHURU (Id: S-12525),Teacher Training
8406,Rajasthan,INDIRA EDUCATION INSTITUTE OF NURSING UDAIPUR (Id: S-5085),Nursing
8407,Rajasthan,INDIRA GANDHI BALIKA NIKETAN JHUNJHUNU (Id: S-7567),Teacher Training
8408,Rajasthan,"INDIRA GANDHI BALIKA NIKETAN SANSKRIT SHIKSHAK PRASHIKSHAN SCHOOL, JHUNJHUNU (Id: S-12534)",Teacher Training
8409,Rajasthan,INDIRA GANDHI EDUCATION INSTITUTE OF NURSING CHITTORGARH (Id: S-5086),Nursing
8410,Rajasthan,INDRAPRASTHA INSTITUTE OF NURSING JAIPUR (Id: S-5087),Nursing
8411,Rajasthan,INSTITUTE OF HEALTH MANAGEMENT RESEARCH JAIPUR (Id: S-303),PGDM Institutes
8412,Rajasthan,INSTITUTE OF RURAL MANAGEMENT (Id: S-305),PGDM Institutes
8413,Rajasthan,"INSTITUTE OF RURAL MANAGEMENT,JODHPUR (Id: S-12859)",PGDM Institutes
8414,Rajasthan,INSTT OF MED TECH and NSG EDUC JAIPUR (Id: S-5088),Nursing
8415,Rajasthan,IRSHAD MEMORIAL INSTITUTE OF NURSING EDUCATION JAIPUR (Id: S-5089),Nursing
8416,Rajasthan,JAGAN NATH INSTITUTE OF MANAGEMENT (Id: S-307),Technical/Polytechnic
8417,Rajasthan,JAGAN NATH INSTITUTE OF MARKETING (Id: S-308),Technical/Polytechnic
8418,Rajasthan,"JAI NARAYAN VYAS SCHOOL OF PHARMACY and DIPLOMA ENGINEERING, BARMER (Id: S-2609)",Technical/Polytechnic
8419,Rajasthan,JAIPUR HOSPITAL SCHOOL OF NURSING JAIPUR (Id: S-5092),Nursing
8420,Rajasthan,JAIPURIA INSTITUTE OF MANAGEMENT (Id: S-309),PGDM Institutes
8421,Rajasthan,"JAIPUR INSTITUTE OF POLYTECHNIC and TECHNOLOGY, JAIPUR (Id: S-2610)",Technical/Polytechnic
8422,Rajasthan,"JAIPUR POLYTECHNIC COLLEGE, JAIPUR (Id: S-2611)",Technical/Polytechnic
8423,Rajasthan,JAIPUR SCHOOL OF GENERAL NURSING and MIDWIFERY JAIPUR (Id: S-5093),Nursing
8424,Rajasthan,JAJU SCHOOL OF NURSING AJMER (Id: S-5094),Nursing
8425,Rajasthan,"JAMWAMATA COLLEGE OF POLYTECHNIC, JAIPUR (Id: S-2613)",Technical/Polytechnic
8426,Rajasthan,JAMWA MATA TEACHER'S TRAINING INSTITUTE (Id: S-7568),Teacher Training
8427,Rajasthan,"JASHODA DEVI POLYTECHNIC COLLEGE, DUDU JAIPUR (Id: S-2614)",Technical/Polytechnic
8428,Rajasthan,JAWAHAR LAL NEHRU HOSPITAL AJMER (Id: S-5095),Nursing
8429,Rajasthan,"JB TEACHERS TRAINING INSTITUTE, SRIGANGANAGAR (Id: S-12547)",Teacher Training
8430,Rajasthan,J E E SCHOOL OF NURSING JAIPUR (Id: S-5090),Nursing
8431,Rajasthan,"JEEVLI SHIKSHAK PRASHIKSHAN INSTITUTE, JHUNJHUNU (Id: S-12535)",Teacher Training
8432,Rajasthan,JILA SHIKSHA and PRAKSHIKSHAN SANSTHAN DHANI BASWADA (Id: S-7569),Teacher Training
8433,Rajasthan,JILA SHIKSHA and PRASHIKSHAN SANSTHAN (Id: S-7570),Teacher Training
8434,Rajasthan,"J L MEMORIAL TT COLLEGE, JODHPUR (Id: S-12518)",Teacher Training
8435,Rajasthan,J L N INSTITUTE OF NURSING EDUCATION JAIPUR (Id: S-5091),Nursing
8436,Rajasthan,"JRS INSTITUTE OF TECHNICAL EDUCATION, SIKAR (Id: S-2616)",Technical/Polytechnic
8437,Rajasthan,JUBIN NURSING SCHOOL PALI (Id: S-5096),Nursing
8438,Rajasthan,KALIDAS SANSKRIT TEACHER TRAINING INSTITUTE (Id: S-7571),Teacher Training
8439,Rajasthan,KAMAKSHA INSTITUTE OF NURSING DUNGARPUR (Id: S-5099),Nursing
8440,Rajasthan,KARUNA SCHOOL OF NURSING HANUMANGARH (Id: S-5100),Nursing
8441,Rajasthan,"KARUNA SHIKSHAK PRASHIKSHAN COLLEGE, HANUMANGARH (Id: S-12530)",Teacher Training
8442,Rajasthan,KAUTILYA MAHILA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA KOTA (Id: S-7572),Teacher Training
8443,Rajasthan,KENDRIYA PLASTIC PRADYOHIKI SANSTHAN JAIPUR (Id: S-2618),Technical/Polytechnic
8444,Rajasthan,KESHAV NURSING SCHOOL JAIPUR (Id: S-5101),Nursing
8445,Rajasthan,K G N M INSTITUTE OF NURSING EDUCATION JHALAWAR (Id: S-5097),Nursing
8446,Rajasthan,KOTHARI MEDICAL and RESEARCH INSTITUTE BIKANER (Id: S-5102),Nursing
8447,Rajasthan,KRISHNA INSTITUTE OF NURSING BHILWARA (Id: S-5103),Nursing
8448,Rajasthan,"KRISHNA INSTITUTE OF TECHNOLOGY and ENGINEERING, CHIMANPURA PALI (Id: S-2617)",Technical/Polytechnic
8449,Rajasthan,K S MEMORIAL SCHOOL OF NURSING JODHPUR (Id: S-5098),Nursing
8450,Rajasthan,LAL BHADUR SHASTRI STC SCHOOL (Id: S-7573),Teacher Training
8451,Rajasthan,"LAXMIDEVI INSTITUTE OF ENGINEERING and TECHNOLOGY, ALWAR (Id: S-2683)",Technical/Polytechnic
8452,Rajasthan,"LAXMI POLITECHNIC COLLEGE, JAIPUR (Id: S-2620)",Technical/Polytechnic
8453,Rajasthan,"LBS POLYTECHNIC COLLEGE, JODHPUR (Id: S-2621)",Technical/Polytechnic
8454,Rajasthan,"L.B.S POLYTECHNIC COLLEGE PACHER BARI, JHUNJHUNU (Id: S-2619)",Technical/Polytechnic
8455,Rajasthan,LIBERTY SCHOOL OF NURSING JAIPUR (Id: S-5104),Nursing
8456,Rajasthan,LORD SHIVA SCHOOL OF NURSING JODHPUR (Id: S-5105),Nursing
8457,Rajasthan,LUCKY INSTITUTE OF PROFESSIONAL STUDIES (Id: S-7574),Teacher Training
8458,Rajasthan,MAA BHARTI TEACHER'S TRAINING SCHOOL (Id: S-7577),Teacher Training
8459,Rajasthan,MAA DURGA SHIKSHAN SANSTHAN MAHILA STC (Id: S-7578),Teacher Training
8460,Rajasthan,MAA GAYATRI SCHOOL OF NURSING UDAIPUR (Id: S-5110),Nursing
8461,Rajasthan,"MAA SHARDA POLYTECHNIC COLLEGE, NAGAUR (Id: S-2622)",Technical/Polytechnic
8462,Rajasthan,MADHAV NURSING SCHOOL KOTA (Id: S-5111),Nursing
8463,Rajasthan,MAHALA TEACHERS TRAINING INSTITUTE SIKAR (Id: S-7579),Teacher Training
8464,Rajasthan,MAHANT SHRI RAGHUNAND DAS SHIKSHAN SANSTHA DUNGARPUR (Id: S-7580),Teacher Training
8465,Rajasthan,MAHAPRABHU SWAMI RAMCHARAN KANYA VIDYAPEETH BHILWARA (Id: S-7581),Teacher Training
8466,Rajasthan,"MAHARANA PRATAP COLLEGE OF POLYTECHNIC, DHOLPUR (Id: S-2631)",Technical/Polytechnic
8467,Rajasthan,"MAHARANA PRATAP INSTITUTE OF DIPLOMA ENGINEERING, DHOLPUR (Id: S-2684)",Technical/Polytechnic
8468,Rajasthan,"MAHARANA PRATAP INSTITUTE OF POLYTECHNIC, BHIWADI ALWAR (Id: S-2623)",Technical/Polytechnic
8469,Rajasthan,MAHARANA PRATAP NATIONAL INSTITUTE OF NURSING EDU and RES. JAIPUR (Id: S-5112),Nursing
8470,Rajasthan,MAHARANA PRATAP STC SCHOOL (Id: S-7582),Teacher Training
8471,Rajasthan,MAHARANI PRATAP STC SCHOOL (Id: S-7583),Teacher Training
8472,Rajasthan,MAHARISHI ARVIND INSTITUTE OF SCIENCE AND MGMT (PGDM) (Id: S-310),PGDM Institutes
8473,Rajasthan,MAHARISHI ARVIND INTERNATIONAL INSTITUTE OF MANAGEMENT (Id: S-311),Technical/Polytechnic
8474,Rajasthan,MAHARISHI ARVIND SCHOOL OF MANAGEMENT STUDIES (Id: S-312),PGDM Institutes
8475,Rajasthan,MAHATMA GANDHI GENERAL NURSING JAIPUR (Id: S-5113),Nursing
8476,Rajasthan,MAHATMA GANDHI GENERAL NURSING SCHOOL SIKAR (Id: S-5114),Nursing
8477,Rajasthan,MAHATMA GANDHI NATIONAL INSTITUTE OF MEDICAL SITAPURA (Id: S-5115),Nursing
8478,Rajasthan,MAHATMA GANDHI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA BHARATPUR (Id: S-7584),Teacher Training
8479,Rajasthan,"MAHATMA JYOTIBA FULE INSTITUTE OF ENGINEERING and TECHONOLOGY, CHURU (Id: S-2624)",Technical/Polytechnic
8480,Rajasthan,MAHATMA JYOTIBA FULE INSTITUTE OF NURSING JAIPUR (Id: S-5116),Nursing
8481,Rajasthan,MAHATMA JYOTIBA FULE SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA (Id: S-7586),Teacher Training
8482,Rajasthan,MAHATMA JYOTI RAO PHOOLE MAHILA SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-7585),Teacher Training
8483,Rajasthan,MAHAVEER TEACHER TRAINING SCHOOL (Id: S-7587),Teacher Training
8484,Rajasthan,MAHAVIR TEACHER TRAINING SCHOOL (Id: S-7588),Teacher Training
8485,Rajasthan,"MAHESH INSTITUTE OF PROFESSIONAL STUDIES, BARMER (Id: S-2625)",Technical/Polytechnic
8486,Rajasthan,"MAHUA INSTITUTE OF POLYTECHNIC, DAUSA (Id: S-2626)",Technical/Polytechnic
8487,Rajasthan,MAI KHADIJA SCHOOL OF NURSING JODHPUR (Id: S-5117),Nursing
8488,Rajasthan,"MANAV MANGAL GIRLS COLLEGE OF EDUCATION SANGRIA, HANUMANGARH (Id: S-12531)",Teacher Training
8489,Rajasthan,"MANSI COLLEGE OF TECHONOLOGY, SIKAR (Id: S-2666)",Technical/Polytechnic
